# [General]
# timestamp=2025-05-27T00:02:49.870563
# comments='# '
# delimiter='\t'
# column_dtypes=float;;float
# column_headers='Frequency (Hz);;Signal ()'
# 
# [Metadata]
# approx. measurement time (s)=241.3327705860138
# measurement sweeps=1001596.0
# number of laser pulses=50
# laser ignore indices=[]
# alternating=False
# analysis parameters={'signal_start': 1.92e-08, 'signal_end': 1.344e-07, 'norm_start': 1.4752e-06, 'norm_end': 2.7616e-06, 'method': 'mean_norm'}
# extraction parameters={'conv_std_dev': 20.0, 'method': 'conv_deriv'}
# fast counter settings={'bin_width': 3.2e-09, 'record_length': 0.0002392064, 'number_of_gates': 0, 'is_gated': False}
# generation parameters={'laser_channel': 'd_ch1', 'sync_channel': 'd_ch2', 'gate_channel': '', 'microwave_channel': 'a_ch1', 'microwave_frequency': 1465093398.2161658, 'microwave_amplitude': 0.012, 'rabi_period': 1.1878201337331154e-06, 'laser_length': 3.2e-06, 'laser_delay': 1e-09, 'wait_time': 1e-06, 'analog_trigger_voltage': 0.0}
# generation method parameters={'name': 'pulsedODMR', 'freq_start': 1461343398.2161658, 'freq_step': 150000.0, 'num_of_points': 50}
# fit result={'model': 'Model(Lorentzian)', 'offset': {'value': 1.198031343376679, 'stderr': 0.004233185574006345, 'unit': ''}, 'center': {'value': 1465108783.0716186, 'stderr': 26176.21504202349, 'unit': ''}, 'sigma': {'value': 589274.5439142021, 'stderr': 48987.40229952266, 'unit': ''}, 'amplitude': {'value': -0.22590619566296705, 'stderr': 0.010171521953254992, 'unit': ''}}
# 
# ---- END HEADER ----
1.461343398216166e+09	1.177295895371508e+00
1.461493398216166e+09	1.183537095230181e+00
1.461643398216166e+09	1.182955411818099e+00
1.461793398216166e+09	1.185056691004136e+00
1.461943398216166e+09	1.203923981139348e+00
1.462093398216166e+09	1.190875117588691e+00
1.462243398216166e+09	1.178193342632987e+00
1.462393398216166e+09	1.181754995321399e+00
1.462543398216166e+09	1.172452142182657e+00
1.462693398216166e+09	1.160892577196160e+00
1.462843398216166e+09	1.162821139368938e+00
1.462993398216166e+09	1.168996000760282e+00
1.463143398216166e+09	1.148072689265147e+00
1.463293398216166e+09	1.186093271789274e+00
1.463443398216166e+09	1.195427282871490e+00
1.463593398216166e+09	1.186823033711487e+00
1.463743398216166e+09	1.196897393220589e+00
1.463893398216166e+09	1.182105172115551e+00
1.464043398216166e+09	1.163030577465407e+00
1.464193398216166e+09	1.128835464541396e+00
1.464343398216166e+09	1.097702057067873e+00
1.464493398216166e+09	1.066662558192682e+00
1.464643398216166e+09	1.054240707539681e+00
1.464793398216166e+09	1.014999590681873e+00
1.464943398216166e+09	9.923340151544388e-01
1.465093398216166e+09	9.856825105106501e-01
1.465243398216166e+09	9.958579529887357e-01
1.465393398216166e+09	1.010292026363634e+00
1.465543398216166e+09	1.025347342939184e+00
1.465693398216166e+09	1.058662836761924e+00
1.465843398216166e+09	1.106109790588133e+00
1.465993398216166e+09	1.134982719368729e+00
1.466143398216166e+09	1.161509053572835e+00
1.466293398216166e+09	1.184346700331891e+00
1.466443398216166e+09	1.199317339423292e+00
1.466593398216166e+09	1.185638470076774e+00
1.466743398216166e+09	1.179233967439062e+00
1.466893398216166e+09	1.177005202924305e+00
1.467043398216166e+09	1.183238091560807e+00
1.467193398216166e+09	1.188997414721261e+00
1.467343398216166e+09	1.164236466941224e+00
1.467493398216166e+09	1.163651365309493e+00
1.467643398216166e+09	1.173924657472525e+00
1.467793398216166e+09	1.169767292073245e+00
1.467943398216166e+09	1.191436656841004e+00
1.468093398216166e+09	1.200172627842075e+00
1.468243398216166e+09	1.190546297939998e+00
1.468393398216166e+09	1.187958844339168e+00
1.468543398216166e+09	1.193044324504287e+00
1.468693398216166e+09	1.217325110513462e+00
